bugid,tempo_space
655269,"[('E', '0'), ('D', '0'), ('D', '0'), ('A', '0'), ('V', '3'), ('C', '3'), ('V', '18'), ('V', '18'), ('C', '18'), ('V', '19'), ('Y', '19'), ('C', '19'), ('W', '34'), ('W', '34'), ('W', '35'), ('L', '35'), ('W', '35'), ('Z', '35')]"
674452,"[('E', '0'), ('D', '0'), ('C', '0'), ('A', '1'), ('C', '3'), ('C', '5'), ('C', '14'), ('D', '21'), ('C', '21'), ('C', '22'), ('C', '22'), ('C', '24'), ('C', '26'), ('V', '31'), ('D', '32'), ('C', '34'), ('Y', '34'), ('W', '35'), ('F', '35'), ('C', '35'), ('L', '35'), ('Z', '35')]"
674926,"[('E', '0'), ('V', '0'), ('C', '0'), ('C', '6'), ('C', '6'), ('V', '12'), ('V', '14'), ('D', '14'), ('Y', '14'), ('C', '15'), ('C', '15'), ('C', '23'), ('W', '24'), ('W', '24'), ('V', '28'), ('Y', '34'), ('W', '35'), ('C', '36'), ('L', '36'), ('Z', '36')]"
680044,"[('E', '0'), ('C', '0'), ('Z', '36')]"
693227,"[('M', '0'), ('C', '0'), ('V', '31'), ('A', '31'), ('C', '31'), ('Y', '32'), ('C', '35'), ('W', '35'), ('C', '36'), ('L', '36'), ('Z', '36')]"
696014,"[('M', '0'), ('A', '0'), ('C', '5'), ('A', '5'), ('A', '5'), ('V', '28'), ('V', '28'), ('Y', '28'), ('Y', '28'), ('V', '28'), ('V', '29'), ('Y', '34'), ('C', '34'), ('C', '34'), ('Y', '36'), ('C', '36'), ('L', '36'), ('Z', '36')]"
707020,"[('E', '0'), ('V', '0'), ('A', '0'), ('D', '0'), ('Y', '0'), ('L', '35'), ('Z', '36')]"
715402,"[('M', '0'), ('D', '0'), ('C', '0'), ('D', '0'), ('C', '1'), ('C', '1'), ('C', '1'), ('A', '1'), ('D', '1'), ('C', '1'), ('C', '1'), ('C', '3'), ('C', '4'), ('V', '28'), ('C', '28'), ('Y', '30'), ('Y', '30'), ('D', '31'), ('C', '31'), ('L', '31'), ('C', '31'), ('L', '31'), ('C', '32'), ('L', '35'), ('W', '35'), ('W', '35'), ('Z', '35')]"
718816,"[('E', '0'), ('C', '1'), ('V', '9'), ('C', '9'), ('C', '9'), ('V', '10'), ('V', '23'), ('Y', '28'), ('F', '32'), ('W', '32'), ('F', '32'), ('W', '32'), ('F', '35'), ('W', '35'), ('L', '36'), ('Z', '36')]"
723121,"[('M', '0'), ('V', '8'), ('C', '8'), ('A', '8'), ('Y', '10'), ('C', '29'), ('W', '36'), ('C', '36'), ('L', '36'), ('Z', '36')]"
724539,"[('M', '0'), ('C', '14'), ('A', '17'), ('L', '36'), ('Z', '36')]"
726009,"[('N', '0'), ('C', '0'), ('C', '1'), ('C', '10'), ('C', '35'), ('Z', '35')]"
726272,"[('M', '0'), ('C', '0'), ('C', '10'), ('D', '33'), ('A', '33'), ('V', '33'), ('C', '33'), ('C', '33'), ('Y', '34'), ('L', '34'), ('W', '34'), ('W', '35'), ('Z', '35')]"
735518,"[('N', '0'), ('C', '0'), ('C', '1'), ('R', '1'), ('A', '2'), ('L', '2'), ('V', '2'), ('C', '2'), ('D', '4'), ('V', '10'), ('V', '13'), ('V', '17'), ('V', '17'), ('V', '20'), ('V', '24'), ('W', '27'), ('V', '29'), ('Y', '29'), ('Y', '29'), ('W', '33'), ('Z', '35')]"
737821,"[('M', '0'), ('C', '9'), ('C', '16'), ('V', '32'), ('C', '32'), ('V', '32'), ('Y', '34'), ('A', '34'), ('C', '34'), ('L', '34'), ('C', '35'), ('Z', '35')]"
739185,"[('E', '0'), ('W', '4'), ('C', '35'), ('W', '35'), ('Z', '35')]"
748047,"[('E', '0'), ('A', '0'), ('C', '0'), ('C', '7'), ('C', '17'), ('C', '21'), ('D', '22'), ('C', '24'), ('C', '26'), ('C', '27'), ('C', '28'), ('C', '28'), ('C', '30'), ('C', '33'), ('Z', '36')]"
749628,"[('E', '0'), ('C', '0'), ('A', '0'), ('C', '3'), ('C', '5'), ('D', '5'), ('D', '5'), ('C', '6'), ('C', '6'), ('C', '7'), ('V', '7'), ('C', '7'), ('C', '7'), ('C', '10'), ('F', '11'), ('V', '11'), ('D', '11'), ('Y', '12'), ('V', '14'), ('Y', '17'), ('V', '19'), ('C', '19'), ('V', '21'), ('V', '25'), ('C', '26'), ('C', '26'), ('V', '31'), ('C', '33'), ('Y', '33'), ('W', '35'), ('C', '35'), ('C', '36'), ('L', '36'), ('Z', '36')]"
752895,"[('M', '0'), ('C', '33'), ('V', '34'), ('C', '34'), ('Y', '34'), ('V', '34'), ('Y', '34'), ('L', '35'), ('Z', '36')]"
771169,"[('E', '0'), ('C', '0'), ('C', '1'), ('C', '4'), ('C', '6'), ('C', '6'), ('C', '10'), ('L', '11'), ('V', '11'), ('V', '12'), ('C', '12'), ('V', '12'), ('V', '13'), ('C', '13'), ('V', '13'), ('C', '15'), ('C', '15'), ('V', '19'), ('V', '25'), ('V', '26'), ('V', '27'), ('Y', '28'), ('C', '28'), ('W', '29'), ('C', '34'), ('W', '34'), ('W', '35'), ('Z', '35')]"
